exposure,model,outcome,term,estimate,std_error,z,p_value,ci_low,ci_high,n,clusters,r2,fdr
pct_oxidative_10,survey_weighted_standardized_wls,response_vulnerability_index,ever_smoker,0.044736580515039905,0.019703127609287715,2.270531937982874,0.023175327761562694,0.006118450400835987,0.08335471062924382,5261,90,0.12132940443362628,0.04492834298902226
pct_oxidative_10,survey_weighted_standardized_wls,response_vulnerability_index,alcohol_ever,-0.07314348828845005,0.02444083271088965,-2.992675787836838,0.002765433549271104,-0.12104752040179376,-0.02523945617510634,5261,90,0.12132940443362628,0.0069720085256271495
pct_oxidative_10,survey_weighted_standardized_wls,response_vulnerability_index,any_physical_activity,-0.07648042986959533,0.01949844249830751,-3.92238661504548,8.767615660717064e-05,-0.11469737716627805,-0.03826348257291261,5261,90,0.12132940443362628,0.00034619188307390174
pct_oxidative_10,survey_weighted_standardized_wls,response_vulnerability_index,RIAGENDR_2,-0.12143365225400822,0.03344054509293071,-3.631329929477709,0.0002819644424074522,-0.1869771206361524,-0.055890183871864035,5261,90,0.12132940443362628,0.0009706083690564219
pct_oxidative_10,survey_weighted_standardized_wls,response_vulnerability_index,RIDRETH3_2,-0.25925072728871534,0.06350905139294527,-4.082106748606129,4.462928789548262e-05,-0.38372846801888805,-0.1347729865585426,5261,90,0.12132940443362628,0.0001829460122127799
pct_oxidative_10,survey_weighted_standardized_wls,response_vulnerability_index,RIDRETH3_3,-0.4451612285783227,0.048039063499034834,-9.266650849412718,1.920825666926205e-20,-0.539317793036431,-0.3510046641202144,5261,90,0.12132940443362628,6.446771144621076e-19
pct_oxidative_10,survey_weighted_standardized_wls,response_vulnerability_index,RIDRETH3_4,-0.25982306822640927,0.05589480254624612,-4.648429843033034,3.344713435950269e-06,-0.36937688121705164,-0.1502692552357669,5261,90,0.12132940443362628,1.778327836737915e-05
pct_oxidative_10,survey_weighted_standardized_wls,response_vulnerability_index,RIDRETH3_6,-0.5476473964539634,0.050663293321588115,-10.809549884128943,3.1018831301734066e-27,-0.6469474513642761,-0.44834734154365075,5261,90,0.12132940443362628,1.3880927007525995e-25
pct_oxidative_10,survey_weighted_standardized_wls,response_vulnerability_index,RIDRETH3_7,-0.15252953191189894,0.09672883901984458,-1.5768775213006172,0.11482370973666547,-0.3421180563907943,0.037058992566996435,5261,90,0.12132940443362628,0.18609468232922344
pct_oxidative_10,survey_weighted_standardized_wls,response_vulnerability_index,DMDEDUC2_2,0.024159497656862247,0.07036555630562744,0.3433426654360169,0.7313406870071529,-0.11375699270216753,0.16207598801589201,5261,90,0.12132940443362628,0.771571608885739
